,followers,reports,comments,likes,emo_label,emotion,influence,heat,professionalism,emo,hobby_weight,topic_drives,topic_continuous_attention
0,710000,8,4,10,black,0.917882979,0.004493665,0.000634737,0.350076104,0.905731831,0.026391279,0.910860233,1.282199214
1,467000,0,0,1,black,0.78264603,0.00295569,2.89E-05,0.065449011,0.715598647,1,0.718583188,1.781047657
2,46000,0,0,0,black,0.817288677,0.000291133,0,0.215372907,0.764303655,1,0.764594788,1.979676562
3,1823,0,0,0,black,0.61003387,1.15E-05,0,0.055555556,0.472918669,1,0.472930201,1.528474225
4,3581000,19,3,30,black,0.717302769,0.022664551,0.001500289,0.127473364,0.623730837,1,0.647895677,1.751204201
5,1009,0,0,0,red,0.801541746,6.38E-06,0,0.203196347,0.74216463,1,0.74217101,1.945360977
6,173000,0,4,3,black,0.615709126,0.00109493,0.000201962,0.0456621,0.480897661,0.004589788,0.482194553,0.531149549
7,3296000,1,27,166,black,0.780948937,0.020860753,0.00559723,0.009512938,0.713212659,0.001147447,0.739670642,0.723873043
8,1888000,8,8,516,black,0.551605523,0.011949361,0.015349106,0.004946728,0.390772719,0,0.418071185,0.395719446
9,11000,0,0,0,black,0.817348838,6.96E-05,0,0.143455099,0.764388237,1,0.764457851,1.907843336
11,1815,0,0,0,black,0.744873643,1.15E-05,0,0.052130898,0.662493454,1,0.662504935,1.714624352
12,92,0,0,0,black,0.867003322,5.76E-07,0,0.010273973,0.834198782,1,0.834199358,1.844472755
13,82,0,0,0,black,0.906851172,5.13E-07,0,0.015601218,0.890221924,1,0.890222437,1.905823142
14,299000,0,1,4,black,0.841214498,0.001892399,0.000144259,0.165144597,0.797941596,1,0.799978254,1.963086193
15,156,0,0,7,black,0.724107504,9.81E-07,0.000201962,0.051750381,0.633297792,1,0.633500735,1.685048173
16,309,0,0,0,black,0.771197289,1.95E-06,0,0.276636225,0.699502561,1,0.69950451,1.976138786
17,2008000,0,0,0,black,0.706397533,0.012708855,0,0.137747336,0.608398879,1,0.621107734,1.746146215
18,112,0,0,0,black,0.881588459,7.03E-07,0,0.050228311,0.85470441,1,0.854705113,1.904932721
19,680000,37,5,57,black,0.784504026,0.004303791,0.002856319,0.112252664,0.718210852,0.004016064,0.725370962,0.83447958
20,1414,0,0,0,black,0.734966099,8.94E-06,0,0.112633181,0.648564177,1,0.64857312,1.761197359
21,36000,0,1,2,black,0.683256388,0.000227842,8.66E-05,0.054414003,0.575864133,1,0.57617853,1.630278137
22,432000,1,1,5,black,0.794960519,0.002734171,0.000201962,0.191019787,0.73291191,0.002868617,0.735848043,0.926800314
23,2358000,0,0,1,black,0.807138026,0.014924044,2.89E-05,0.01217656,0.750032588,1,0.764985484,1.762209148
24,73000,0,0,0,black,0.65448611,0.000462019,0,0.174277017,0.535415243,0.203098107,0.535877262,0.912790366
25,177000,0,0,19,black,0.70048066,0.001120247,0.000548182,0.185312024,0.600080191,0.203098107,0.60174862,0.988490322
26,361,0,0,0,black,0.946191013,2.28E-06,0,0.076103501,0.945530841,1,0.945533119,2.021634341
27,196000,1,2,7,black,0.856961548,0.0012405,0.000288517,0.008371385,0.820080789,1,0.821609806,1.828452174
28,1545,0,1,0,black,0.742681563,9.77E-06,2.89E-05,0.02739726,0.659411551,1,0.659450175,1.686808811
29,46,0,0,1,black,0.793120722,2.85E-07,2.89E-05,0.198249619,0.730325291,1,0.730354428,1.928574911
30,295000,0,0,0,black,0.677760243,0.001867082,0,0.042237443,0.56813696,0.02811245,0.570004042,0.638486852
31,5764,2,3,4,black,0.602748275,3.65E-05,0.000259665,0.042998478,0.462675659,1,0.462971799,1.505674137
32,19000,0,0,1,black,0.868000805,0.000120247,2.89E-05,0.202054795,0.835601171,1,0.835750269,2.037655965
33,14000,0,0,2,black,0.794681311,8.86E-05,5.77E-05,0.063926941,0.732519364,0.02811245,0.732665669,0.824558755
34,42000,0,0,0,black,0.858115941,0.000265816,0,0.124809741,0.82170378,1,0.821969597,1.946513521
35,74,0,5,0,black,0.828562498,4.62E-07,0.000144259,0.064687976,0.780153817,1,0.780298537,1.844841793
36,46000,0,1,2,black,0.793179393,0.000291133,8.66E-05,0.046423135,0.730407778,1,0.730785466,1.776830914
37,715000,338,21,311,black,0.782903016,0.00452531,0.019330641,0.051750381,0.715959949,0.203098107,0.7398159,0.970808436
38,479000,2,1,79,black,0.670121133,0.003031639,0.00236584,0.055555556,0.557396934,0.203098107,0.562794413,0.816050596
39,267,0,0,0,black,0.785501599,1.68E-06,0,0.03652968,0.719613366,1,0.71961505,1.756143047
40,166,0,0,1,black,0.814289212,1.04E-06,2.89E-05,0.056316591,0.760086629,1,0.760116525,1.816403219
41,18000,0,1,28,black,0.820306301,0.000113918,0.000836699,0.054033486,0.768546212,0.018359151,0.769496829,0.840938849
42,71,0,0,0,black,0.834077358,4.43E-07,0,0.058980213,0.787907304,1,0.787907747,1.846887517
43,530000,5,3,18,black,0.484933853,0.003354424,0.000750144,0.046803653,0.297037264,0.027538726,0.301141833,0.371379644
44,5805,0,0,7,black,0.819359779,3.67E-05,0.000201962,0.01826484,0.767215473,0.005163511,0.767454169,0.790643824
45,147000,7,14,105,black,0.747885659,0.000930373,0.003635314,0.25,0.666728127,1,0.671293815,1.916728127
46,2481,0,0,1,black,0.876975775,1.57E-05,2.89E-05,0.158675799,0.848219316,1,0.848263864,2.006895115
47,612000,65,0,252,black,0.432629853,0.003873411,0.00914599,0.036910198,0.223501695,0.203098107,0.236521096,0.46351
48,528000,0,0,3,black,0.913963735,0.003341766,8.66E-05,0.008751903,0.900221663,0.203098107,0.903649984,1.112071672
49,1105000,5,16,24,black,0.539833009,0.006993665,0.001298327,0.025114155,0.374221432,0.0562249,0.382513424,0.455560487
50,1897000,270,130,1209,black,0.841058344,0.012006323,0.046422389,0.084474886,0.797722055,0.017211704,0.856150767,0.899408645
51,10000,200,3,504,black,0.775685628,6.33E-05,0.020398153,0.21499239,0.705812834,1,0.726274273,1.920805224
52,39,0,0,0,black,0.848157883,2.41E-07,0,0.029299848,0.807703484,1,0.807703724,1.837003331
53,369,0,0,1,black,0.37509954,2.33E-06,2.89E-05,0.068493151,0.142618314,1,0.142649494,1.211111464
54,3249000,10,5,8,black,0.783014993,0.020563285,0.000663589,0.407914764,0.716117381,0.203098107,0.737344255,1.327130252
55,134000,0,0,1,black,0.724763453,0.000848095,2.89E-05,0.03500761,0.634220009,0.203098107,0.635096955,0.872325726
56,257000,1016,81,1060,black,0.631080151,0.001626576,0.062233122,0.037671233,0.502508189,0.0562249,0.566367887,0.596404321
57,85,0,0,0,black,0.757219205,5.32E-07,0,0.381659056,0.679850405,1,0.679850936,2.061509461
58,435000,0,0,5,black,0.843601763,0.002753158,0.000144259,0.051750381,0.801297915,0.026391279,0.804195332,0.879439575
59,100000,0,0,0,black,0.850343823,0.000632905,0,0.056316591,0.810776755,1,0.81140966,1.867093346
60,7071000,537,299,2009,black,0.84989351,0.044753159,0.082083093,0.060502283,0.810143648,0.018359151,0.9369799,0.889005082
61,5230000,1,0,2,black,0.744160692,0.03310126,8.66E-05,0.160958904,0.661491097,1,0.694678912,1.822450001
62,50000,0,0,0,black,0.802238524,0.000316449,0,0.004185693,0.743144249,1,0.743460699,1.747329942
63,638000,0,15,12,black,0.834990799,0.004037968,0.000778996,0.03652968,0.789191535,0.004589788,0.794008499,0.830311003
64,126000,2,6,57,black,0.828312755,0.000797462,0.001875361,0.079528158,0.779802696,0.203098107,0.782475519,1.062428961
65,231000,0,0,0,black,0.880523175,0.001462019,0,0.097031963,0.8532067,0.006884682,0.854668719,0.957123345
66,1068,0,0,0,black,0.797214866,6.75E-06,0,0.054033486,0.736081356,1,0.736088109,1.790114841
67,12,0,0,0,black,0.819696705,6.96E-08,0,0.168188737,0.767689165,1,0.767689234,1.935877901
68,408000,0,12,80,black,0.783460021,0.002582272,0.002654357,0.020547945,0.716743058,0.001147447,0.721979687,0.73843845
69,584000,1,2,6,black,0.748484164,0.003696196,0.000259665,0.117960426,0.667569581,0.203098107,0.671525442,0.988628114
70,1168000,0,0,2,black,0.678780556,0.007392399,5.77E-05,0.019025875,0.569571444,0.002868617,0.577021546,0.591465936
71,878,0,0,0,black,0.899450898,5.55E-06,0,0.019406393,0.879817684,1,0.879823234,1.899224076
72,999,0,0,0,black,0.869234204,6.32E-06,0,0.062024353,0.837335239,1,0.837341555,1.899359592
73,411000,4,28,3381,black,0.920202076,0.00260126,0.09847086,0.01674277,0.908992311,0.203098107,1.01006443,1.128833188
74,169000,0,1,0,black,0.87017417,0.001069614,2.89E-05,0.044901065,0.838656761,1,0.839755226,1.883557826
75,502000,6,12,20,black,0.790597558,0.003177209,0.001096365,0.049086758,0.726777909,1,0.731051482,1.775864667
76,618000,1,5,35,black,0.806809485,0.003911386,0.00118292,0.024733638,0.749570683,0.203098107,0.754664989,0.977402428
77,20000,0,0,0,black,0.372866362,0.000126576,0,0.014459665,0.139478631,1,0.139605207,1.153938296
78,362000,57,13,245,black,0.557003558,0.002291133,0.009088286,0.019025875,0.398361958,0.005163511,0.409741377,0.422551345
79,1091000,0,0,3,black,0.779039502,0.006905057,8.66E-05,0.049847793,0.710528134,0.072289157,0.717519746,0.832665084
80,70000,6,1,19,black,0.886480212,0.000443032,0.000750144,0.012557078,0.861581855,0.026391279,0.862775031,0.900530212
81,693000,1,2,6,red,0.273658723,0.00438607,0.000259665,0.025494673,0,0.017211704,0.004645735,0.042706377
82,94000,7,0,7,black,0.835047245,0.00059493,0.000403924,0.326484018,0.789270893,0.026391279,0.790269747,1.142146191
83,6531,0,0,0,black,0.703087091,4.13E-05,0,0.198630137,0.603744642,1,0.603785971,1.802374779
84,3802000,1103,1093,6172,black,0.839472294,0.024063285,0.241431044,0.063165906,0.795492186,0.005163511,1.060986515,0.863821603
85,129000,0,1,0,black,0.879796475,0.000816449,2.89E-05,0.232115677,0.852185013,1,0.853030314,2.084300691
86,10000,0,0,2,purple,0.466363907,6.33E-05,5.77E-05,0.051750381,0.270929288,1,0.271050277,1.322679669
87,1348000,6,12,41,black,0.730015278,0.008531639,0.00170225,0.053652968,0.641603687,0.018359151,0.651837577,0.713615806
88,25000,21,10,91,black,0.708527774,0.000158222,0.003519908,0.133181126,0.61139384,1,0.615071969,1.744574966
89,613000,0,0,4,black,0.848085403,0.003879741,0.000115407,0.049086758,0.807601583,0.002868617,0.811596731,0.859556959
90,31000,0,1,1,black,0.63867408,0.000196196,5.77E-05,0.066590563,0.513184695,1,0.513438594,1.579775258
91,3802000,209,165,529,black,0.612776309,0.024063285,0.026053087,0.086377473,0.476774337,0.026391279,0.526890709,0.58954309
92,136000,4,15,333,black,0.831928957,0.000860753,0.010155799,0.335616438,0.784886809,0.203098107,0.795903362,1.323601354
93,658,0,1,2,black,0.665759325,4.16E-06,8.66E-05,0.048325723,0.551264553,1,0.551355266,1.599590276
94,704,0,0,0,black,0.367025077,4.45E-06,0,0.04109589,0.131266214,1,0.131270664,1.172362105
95,12924000,2,2,27,black,0.965506792,0.081797463,0.000894403,0.041476408,0.972687403,0.203098107,1.055379268,1.217261917
96,358,0,0,0,black,0.856785625,2.26E-06,0,0.080669711,0.819833454,1,0.819835713,1.900503165
97,193000,1,2,9,black,0.759586453,0.001221513,0.00034622,0.04109589,0.683178581,0.004016064,0.684746314,0.728290536
98,86000,0,0,1,black,0.830749452,0.000544297,2.89E-05,0.022450533,0.783228513,1,0.783801662,1.805679046
99,222000,5,7,7,black,0.72238946,0.001405057,0.000548182,0.032343988,0.630882349,0.203098107,0.632835588,0.866324443
100,556000,1,0,11,black,0.901925921,0.003518981,0.00034622,0.045281583,0.883297384,0.203098107,0.887162585,1.131677074
101,175000,1,0,0,black,0.815075427,0.001107589,2.89E-05,0.094368341,0.761191989,0.072289157,0.76232843,0.927849487
102,170000,2,2,108,black,0.913958997,0.001075943,0.003231391,0.074581431,0.900215001,0.203098107,0.904522334,1.177894538
103,154000,0,0,0,black,0.809461534,0.000974677,0,0.04109589,0.753299269,0.203098107,0.754273946,0.997493266
104,8861000,14,6,21,black,0.708194256,0.056082273,0.00118292,0.034627093,0.610924938,0.00172117,0.668190131,0.647273202
105,237000,49,5,56,black,0.821894219,0.001499994,0.003173687,0.838660578,0.770778707,0.010327022,0.775452388,1.619766308
106,11142000,1,2,22,black,0.705402434,0.070518981,0.000721293,0.126712329,0.606999842,1,0.678240116,1.733712171
107,3233000,33,71,192,black,0.586937055,0.020462019,0.008540104,0.096651446,0.44044625,0.017211704,0.469448373,0.554309399
108,1251000,158,48,69,black,0.80919375,0.007917715,0.007934218,0.170471842,0.752922785,0.004589788,0.768774718,0.927984414
109,68000,1,1,2,red,0.404957086,0.000430373,0.000115407,0.034246575,0.184595823,0.010327022,0.185141603,0.229169421
